A̱o,Trimestre,Ingresos_InternetFijo,Ingresos_TelefoniaMovil
2014,1,2984054,15938353
2014,2,3270816,17680972
2014,3,3478638,18976053
2014,4,3950441,20012332
2015,1,4876385,19337342
2015,2,4701791,19945453
2015,3,5153739,21785238
2015,4,5376899,24881967
2016,1,5936845,24763052
2016,2,6534241,25353971
2016,3,6912442,27416177
2016,4,7483980,30143233
2017,1,8701201,31205565
2017,2,9678647,33509264
2017,3,10065998,35711689
2017,4,11226127,38110028
2018,1,13171459,38733946
2018,2,14319467,40653502
2018,3,15410981,43280089
2018,4,16637687,44026803
2019,1,20207414,50246691
2019,2,20743118,55338816
2019,3,21652748,60905891
2019,4,24169251,65388842
2020,1,29946216,72077147
2020,2,32102476,73538944
2020,3,31997445,79634755
2020,4,33539703,83479114
2021,1,36676371,93112153
2021,2,38239667,104782020
2021,3,42999944,117751925
2021,4,45467887,127389786
2022,1,55589997,130454676
2022,2,60335724,153032313
2022,3,67055930,174057836
2022,4,[42282495.95714378],[1.09211468e+08]
